Team,Grade,Sacks,Pres %,TTP
PIT,89.26799666149661,14 (92.7),22.6% (99.3),2.81 (75.9)
BUF,82.5731837055791,23 (68.4),28.4% (88.4),2.90 (90.9)
CHI,81.35679044062248,18 (84.6),31.3% (71.6),2.88 (87.9)
DEN,78.97745361999482,16 (89.2),27.7% (91.0),2.74 (56.8)
WAS,75.20709954372747,20 (78.9),32.8% (60.4),2.87 (86.3)
SEA,72.21568473957745,18 (84.6),29.2% (84.8),2.71 (47.3)
KC,68.31455344499769,31 (35.0),31.4% (70.9),3.03 (99.0)
DAL,65.84116070132144,14 (92.7),32.0% (66.7),2.68 (38.2)
TB,63.8166210041814,21 (75.7),31.6% (69.4),2.71 (46.4)
LA,63.54547398477461,19 (81.9),27.4% (91.9),2.59 (16.8)
SF,63.15188984895931,25 (60.4),31.9% (66.8),2.76 (62.2)
PHI,63.0567786285788,24 (64.5),33.0% (58.0),2.78 (66.7)
GB,62.47436863883316,25 (60.4),35.3% (38.8),2.88 (88.2)
HOU,53.759209393129176,21 (75.7),31.9% (67.3),2.60 (18.4)
BAL,52.12924473005723,35 (20.7),33.7% (52.8),2.85 (82.9)
NYG,50.656099796450405,30 (39.1),37.8% (20.9),2.91 (92.0)
ATL,48.97051162152362,15 (91.0),35.4% (38.3),2.59 (17.6)
JAX,45.96868807282548,30 (39.1),33.3% (56.0),2.69 (42.8)
TEN,45.1722246367309,35 (20.7),36.6% (28.7),2.87 (86.1)
IND,44.15949721262873,21 (75.7),33.9% (50.4),2.51 (6.4)
MIA,41.90682178971053,32 (31.1),30.6% (76.8),2.59 (17.9)
CIN,41.267581059637315,28 (47.6),33.2% (56.8),2.60 (19.4)
CLE,38.84866898922016,25 (60.4),46.5% (0.4),2.74 (55.8)
DET,35.34394349823072,27 (51.9),34.3% (47.4),2.51 (6.7)
NE,34.43215577343925,44 (3.7),38.3% (17.7),2.84 (82.0)
CAR,33.62570132161098,25 (60.4),37.5% (22.7),2.59 (17.8)
ARI,29.62852348584073,40 (8.7),38.7% (15.8),2.77 (64.4)
NO,27.899545976505816,36 (17.8),34.6% (45.0),2.61 (20.9)
LV,19.56687648572471,37 (15.1),36.0% (33.0),2.55 (10.6)
MIN,18.571891425212637,39 (10.6),38.4% (17.3),2.64 (27.8)
LAC,10.512851901824716,48 (1.3),42.5% (3.5),2.63 (26.7)
NYJ,9.48385114939518,42 (5.8),39.9% (10.5),2.56 (12.2)
