Team,Grade,Def EPA,ST EPA,Start
HOU,96.4,-0.16 (97.3),51.78 (95.1),OWN 33.5 (96.8)
JAX,87.0,-0.09 (85.8),26.74 (80.3),OWN 33.1 (94.7)
SEA,83.6,-0.12 (93.4),72.36 (99.0),OWN 30.7 (58.3)
MIN,73.2,-0.10 (89.0),13.63 (66.8),OWN 30.9 (63.9)
CHI,68.5,0.03 (38.8),16.81 (70.4),OWN 33.4 (96.3)
DET,66.0,-0.01 (57.6),3.00 (53.8),OWN 32.2 (86.6)
PIT,63.5,0.02 (43.1),5.85 (57.4),OWN 32.5 (90.1)
NE,60.1,-0.09 (87.0),-5.62 (42.9),OWN 30.3 (50.3)
BAL,57.0,0.02 (42.0),-2.61 (46.7),OWN 31.9 (82.4)
LAC,54.1,-0.08 (83.9),-16.47 (30.0),OWN 30.3 (48.6)
PHI,53.7,-0.07 (81.2),-7.78 (40.2),OWN 29.9 (39.7)
TEN,52.8,0.10 (13.9),21.80 (75.7),OWN 31.2 (68.9)
DEN,52.8,-0.08 (83.9),-7.35 (40.7),OWN 29.6 (33.8)
LA,52.2,-0.05 (73.1),-33.86 (14.0),OWN 31.2 (69.6)
TB,50.6,0.01 (47.0),-25.59 (20.7),OWN 32.0 (84.0)
SF,49.2,0.07 (23.3),52.36 (95.3),OWN 29.4 (29.0)
CLE,49.1,-0.10 (88.2),-26.01 (20.3),OWN 29.8 (38.7)
IND,47.9,0.00 (51.1),-0.82 (49.0),OWN 30.1 (43.6)
WAS,47.3,0.14 (5.8),25.97 (79.6),OWN 30.6 (56.5)
KC,47.3,-0.02 (62.2),-18.78 (27.4),OWN 30.4 (52.3)
ATL,40.5,-0.00 (54.8),-31.25 (15.9),OWN 30.4 (50.9)
CIN,39.6,0.13 (7.8),21.77 (75.6),OWN 29.7 (35.4)
CAR,37.7,0.07 (23.1),6.11 (57.7),OWN 29.6 (32.4)
NYJ,37.6,0.15 (5.2),46.13 (93.0),OWN 28.5 (14.5)
NO,37.5,-0.06 (77.6),-65.27 (1.9),OWN 29.6 (32.9)
NYG,37.2,0.09 (17.6),-7.59 (40.4),OWN 30.5 (53.6)
MIA,34.9,0.09 (17.3),26.11 (79.8),OWN 27.9 (7.6)
BUF,30.1,-0.01 (58.1),-33.42 (14.3),OWN 28.8 (18.0)
ARI,27.4,0.09 (17.3),-48.64 (6.0),OWN 30.7 (58.8)
GB,23.9,0.04 (35.8),-34.65 (13.4),OWN 29.0 (22.5)
LV,20.2,0.02 (41.9),-28.90 (17.8),OWN 26.2 (0.7)
DAL,20.1,0.17 (3.2),4.18 (55.3),OWN 26.7 (1.7)
